n_deep_layers,nodes_per_layer,k,batch_size,num_epochs,avg_train_error,avg_val_error
2,8,2,8,50,0.4438236696826497,0.451806681007891
4,8,2,8,50,0.40978348661077035,0.44511547099244375
8,8,2,8,50,0.4643756164076662,0.4942095741499334
3,8,2,8,50,0.40794821178815044,0.4400782712712787
3,4,1,8,50,0.4807890855961208,0.4734287851585893
3,4,2,8,50,0.4997987101306073,0.5052815211903219
3,4,3,8,50,0.5028572720474185,0.5012793938886706
3,8,1,8,50,0.42282779875878396,0.4383297763242024
3,8,2,8,50,0.4247984827044252,0.43305830089207975
3,8,3,8,50,0.41941046070846477,0.440716084833217
3,16,1,8,50,0.4024504359121912,0.4251764420492563
3,16,2,8,50,0.3955537437389771,0.4268591792329386
3,16,3,8,50,0.39670971940783345,0.42761902634215493
4,4,1,8,50,0.47694643290687744,0.47321315169710115
4,4,2,8,50,0.49125397199181603,0.49295453313185733
4,4,3,8,50,0.5264072976478984,0.5268175654756925
4,8,1,8,50,0.4125153428614189,0.42898653735264486
4,8,2,8,50,0.40694870622193857,0.43002829054364317
4,8,3,8,50,0.41757482682081515,0.4317763184558586
4,16,1,8,50,0.40208003763252337,0.4268691643886826
4,16,2,8,50,0.3945047864160677,0.4230855429325735
4,16,3,8,50,0.390937378574003,0.41986437579647556
5,4,1,8,50,0.44738854383895726,0.4536326053075392
5,4,2,8,50,0.5195012840279619,0.5235158014328277
5,4,3,8,50,0.521964967677152,0.5513919514786357
5,8,1,8,50,0.41254726154534643,0.4296165363837585
5,8,2,8,50,0.40613638385142786,0.4262085017519889
5,8,3,8,50,0.4061547870414099,0.43598841965171536
5,16,1,8,50,0.40374380360354917,0.42465825115722416
5,16,2,8,50,0.39791925310427223,0.421307339483449
5,16,3,8,50,0.397147748713787,0.4224360815151621
3,16,1,8,50,0.40199957480491744,0.4252893102829246
3,16,2,8,50,0.3950921841285182,0.42654573256714956
3,16,3,8,50,0.39117872579814134,0.42925601236490574
3,16,4,8,50,0.3918732863761407,0.42222885837977264
3,32,1,8,50,0.3943649791160446,0.42653082358099487
3,32,2,8,50,0.3758194318158966,0.42511529283524274
3,32,3,8,50,0.3706584691260048,0.4283262059007658
3,32,4,8,50,0.35786667489231183,0.42882814970282634
3,36,1,8,50,0.3934588797221246,0.42581817511111114
3,36,2,8,50,0.37111206054113366,0.4273136272867091
3,36,3,8,50,0.36634930245068087,0.42607595793336844
3,36,4,8,50,0.3563746428251254,0.425638598932239
4,16,1,8,50,0.406676420535247,0.42604473222835804
4,16,2,8,50,0.39443779000676094,0.43231481401396676
4,16,3,8,50,0.3921965015958356,0.4243853619637735
4,16,4,8,50,0.3880819468392508,0.4276670321187196
4,32,1,8,50,0.39515752110679375,0.42712807387709795
4,32,2,8,50,0.3799880014838269,0.42427107538995507
4,32,3,8,50,0.3685405759215466,0.428470070552929
4,32,4,8,50,0.36033106568019224,0.425068275285969
4,36,1,8,50,0.39348682195514423,0.4249856290191184
4,36,2,8,50,0.3705255997954021,0.4331885285567781
4,36,3,8,50,0.36486223543282637,0.42274718234746694
4,36,4,8,50,0.3548841949205214,0.43399916414736045
5,16,1,8,50,0.4027838837689962,0.42431234525805267
5,16,2,8,50,0.397461842128213,0.4278562718941116
5,16,3,8,50,0.3881108645296878,0.4260470042240054
5,16,4,8,50,0.3868907117390258,0.426628849150386
5,32,1,8,50,0.3972999726732113,0.42331382044617616
5,32,2,8,50,0.38115446886991977,0.42490170158426405
5,32,3,8,50,0.36767295460156324,0.431565701500136
5,32,4,8,50,0.3614984471710848,0.43124806470694227
5,36,1,8,50,0.3937727488596561,0.4258934087184281
5,36,2,8,50,0.37743221702036683,0.42730077766425156
5,36,3,8,50,0.3674750174778151,0.4361264214638232
5,36,4,8,50,0.3516226342957284,0.426913582542892
3,64,1,8,50,0.3864107524370109,0.428167926688179
3,64,2,8,50,0.3552409994278857,0.4282608118268095
3,64,3,8,50,0.3410243474183923,0.4356895167646738
3,64,4,8,50,0.323090346794107,0.43398856361373667
4,64,1,8,50,0.38656386390733266,0.42729564857847996
4,64,2,8,50,0.35254608835775186,0.4368471016518976
4,64,3,8,50,0.3370472322414332,0.43814248618598306
4,64,4,8,50,0.31879965958162443,0.4315414835122917
5,64,1,8,50,0.38619113449035314,0.429476646912602
5,64,2,8,50,0.3492461903157883,0.43241124998967917
5,64,3,8,50,0.3373835688955294,0.432650395300984
5,64,4,8,50,0.31623795556132583,0.44206745488612825
